from_timepoint	to_timepoint	group	p_val_bf_adj
inclusion	followup_30d	FMT	0.005
inclusion	followup_1m	FMT	0.0009
inclusion	followup_3m	FMT	0.010
inclusion	followup_6m	FMT	0.047
inclusion	followup_12m	FMT	1.000
followup_30d	followup_1m	FMT	1.000
followup_1m	followup_3m	FMT	1.000
followup_3m	followup_6m	FMT	1.000
followup_6m	followup_12m	FMT	1.000
inclusion	followup_30d	placebo	0.0009
inclusion	followup_1m	placebo	0.022
inclusion	followup_3m	placebo	0.0009
inclusion	followup_6m	placebo	0.179
inclusion	followup_12m	placebo	0.146
followup_30d	followup_1m	placebo	1.000
followup_1m	followup_3m	placebo	1.000
followup_3m	followup_6m	placebo	1.000
followup_6m	followup_12m	placebo	1.000


